track_name,genre,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
S91,"Latin pop trap, Reggaeton",Karol G,1,2023,7,14,525,41,16.011.326,34,115,39,6,216,128,,Minor,86,42,72,59,0,9,19
cardigan,"Pop, folk-Pop",Taylor Swift,1,2020,7,24,7923,29,812.019.557,106,112,142,4,215,130,,Minor,61,53,58,55,0,27,4
Ta OK,"Latin pop, funk carioca","dennis, MC Kevin o Chris",2,2023,5,4,731,15,111.947.664,27,17,73,4,167,130,B,Major,86,59,96,50,1,9,5
Boy's a liar Pt. 2,"Pop, Dance pop","PinkPantheress, Ice Spice",2,2023,2,3,5184,41,156.338.624,154,84,102,14,37,133,F,Major,70,86,81,25,0,25,5
Left and Right (Feat. Jung Kook of BTS),"Pop, electronica, dance","Charlie Puth, BTS, Jung Kook",3,2022,6,24,3107,39,720.434.240,38,0,4,0,0,101,D,Major,88,72,59,62,0,9,3
BESO,Pop,"Rauw Alejandro, ROSALiA",2,2023,3,24,4053,50,357.925.728,82,121,182,12,171,95,F,Minor,77,53,64,74,0,17,14
Hey Mor,"Latin pop, Pop, Reggaeton","Ozuna, Feid",2,2022,10,6,4637,38,674.072.710,63,79,89,11,16,98,C#,Minor,90,40,59,0,0,10,29
Yellow,"Indie folk, indie Pop, folk-Pop",Chris Molitor,1,1999,1,1,31358,43,1.755.214.421,196,2,4.053,5,0,173,B,Major,43,28,66,0,0,23,3
Karma,"Pop, Pop-Rock, dance",Taylor Swift,1,2022,10,21,3818,23,404.562.836,37,55,32,0,272,90,G#,Major,64,10,62,7,0,48,7
People,"Pop, electroPop",Libianca,1,2022,12,2,3506,56,373.199.958,105,64,169,8,529,198,A#,Minor,59,71,42,55,0,10,7
Overdrive,"Pop, Pop-Rock",Post Malone,1,2023,7,14,410,36,14.780.425,36,32,31,1,26,140,C#,Major,56,48,73,0,0,35,4
Enchanted (Taylor's Version),"Pop, Rock, country",Taylor Swift,1,2023,7,7,148,24,39.578.178,32,93,8,2,5,82,G#,Major,51,22,53,1,0,15,3
BABY HELLO,"Latin pop, trap, EDM, electroPop","Rauw Alejandro, Bizarrap",2,2023,6,23,1004,35,54.266.102,42,80,58,3,169,130,C#,Minor,77,84,89,17,0,43,5
Heat Waves,"Rock, Pop",Glass Animals,1,2020,6,28,22543,63,2.557.975.762,386,144,707,28,,81,B,Major,76,53,53,44,0,9,9
golden hour,"Pop, indie Pop",JVKE,1,2022,7,15,4511,36,751.134.527,70,58,109,18,230,94,C#,Minor,51,14,59,65,18,25,3
Sweater Weather,Rock,The Neighbourhood,1,2012,5,14,16413,61,2.282.771.485,166,87,1.056,1,,124,A#,Major,61,41,81,5,2,10,3
"Quevedo: Bzrp Music Sessions, Vol. 52","Latin pop, Rap","Bizarrap, Quevedo",2,2022,7,6,8506,45,1.356.565.093,94,65,164,14,176,128,D,Major,62,55,78,1,3,23,4
Viva La Vida,"Pop, Rock",Coldplay,1,2008,1,1,33898,62,1.592.909.789,233,0,4.095,9,0,138,F,Minor,49,42,62,9,0,11,3
Here With Me,"Pop, electronic",d4vd,1,2022,7,17,3246,23,635.412.045,94,85,68,1,84,132,E,Major,58,27,48,50,0,12,3
Unholy (feat. Kim Petras),"electroPop, EDM, Dance pop","Sam Smith, Kim Petras",2,2022,9,22,8576,42,1.230.675.890,216,108,331,26,154,131,D,Major,71,24,47,1,0,27,9
Yandel 150,"Latin pop, Reggaeton","Yandel, Feid",2,2022,12,20,3618,38,585.695.368,47,74,80,14,194,168,F#,Minor,78,58,73,5,0,10,7
CORAZON VACIO,"Latin pop, Reggaeton",Maria Becerra,1,2023,6,22,370,20,43.857.627,12,16,18,4,93,98,C#,Major,68,40,79,33,0,30,6
Riptide,"Indie folk, folk-Pop, Rock",Vance Joy,1,1975,1,1,31123,55,2.009.094.673,300,65,1.003,1,0,102,C#,Major,48,50,73,43,0,15,4
Until I Found You (with Em Beihold) - Em Beihold Version,"Pop, soul","Em Beihold, Stephen Sanchez",2,2022,4,22,2790,30,600.976.848,60,96,71,0,115,101,A#,Major,34,32,57,78,0,20,3
NOVIDADE NA AREA,Latin pop,"Mc Livinho, DJ Matt D",2,2023,6,23,267,9,39.709.092,9,6,25,2,72,130,F,Major,63,36,34,76,0,35,9
Back To December (Taylor's Version),"Pop, country Pop",Taylor Swift,1,2023,7,7,139,17,39.228.929,16,72,5,0,8,142,D,Major,50,20,64,1,0,12,3
STAY (with Justin Bieber),"electroPop, Rap, Pop-Rock","Justin Bieber, The Kid Laroi",2,2021,7,9,17050,36,2.665.343.922,492,99,798,31,0,170,C#,Major,59,48,76,4,0,10,5
El Merengue,"Pop, Latin pop, EDM","Marshmello, Manuel Turizo",2,2023,3,3,2114,44,223.633.238,80,75,110,11,323,124,G#,Minor,78,70,68,3,1,11,4
Someone You Loved,"Pop, Pop-Rock",Lewis Capaldi,1,2018,11,8,17836,53,2.887.241.814,440,125,1.800,0,,110,C#,Major,50,45,41,75,0,11,3
Me Porto Bonito,"Latin pop, Reggaeton","Chencho Corleone, Bad Bunny",2,2022,5,6,8870,43,1.440.757.818,104,120,141,26,49,92,C#,Minor,91,43,71,9,0,9,8
Makeba,"dance, Pop",Jain,1,2015,6,22,6060,53,165.484.133,150,148,2.703,22,1.451,116,D,Major,82,40,66,39,51,25,7
MONTAGEM - FR PUNK,"electronic, dance.","Ayparia, unxbected",2,2012,6,20,641,50,58.054.811,1,52,8,0,1.170,129,A,Major,63,84,82,70,8,9,7
Fast Car,country,Luke Combs,1,2023,3,24,1446,12,157.058.870,57,97,35,0,429,98,G#,Major,71,67,60,19,0,12,3
What It Is (Solo Version),"Hip hop, Rap",Doechii,1,2023,3,17,804,25,95.131.998,29,76,24,0,162,172,C#,Minor,74,76,76,6,0,10,9
Coco Chanel,"Latin pop, Reggaeton","Bad Bunny, Eladio Carrion",2,2023,3,17,1962,38,250.305.248,28,89,29,5,82,150,D,Major,68,14,76,4,0,10,4
Don’t Blame Me,"Pop, electroPop",Taylor Swift,1,2017,11,8,4875,23,685.032.533,19,45,0,0,10,136,A,Minor,62,19,53,11,0,6,4
Still With You,"K-Pop, ballad",Jung Kook,1,2020,6,5,31,39,38.411.956,2,107,8,0,0,88,C#,Minor,53,34,47,9,0,83,4
All My Life (feat. J. Cole),"Hip hop, Rap","J. Cole, Lil Durk",2,2023,5,12,2175,23,144.565.150,69,145,69,2,478,143,D#,Major,83,69,44,15,0,10,33
Say Yes To Heaven,"ballad, Pop",Lana Del Rey,1,2023,3,17,2000,46,127.567.540,49,105,63,1,0,100,F#,Minor,49,17,35,71,9,11,3
Snooze,"R&B, soul",SZA,1,2022,12,9,2839,25,399.686.758,58,156,42,1,236,143,F,Major,56,39,55,14,0,11,13
Summertime Sadness,"Pop, indie Pop",Lana Del Rey,1,2011,1,1,20333,52,983.637.508,89,143,1.632,3,200,112,C#,Minor,56,24,66,7,0,12,3
Take Two,"K-Pop, Pop",BTS,1,2023,6,9,674,47,118.482.347,20,106,25,4,78,93,G,Major,62,57,59,3,0,38,3
Lover,"Pop, country Pop",Taylor Swift,1,2012,1,1,8448,23,882.831.184,160,110,163,0,5,206,G,Major,43,50,55,50,0,15,10
Too Many Nights (feat. Don Toliver & with Future),"Hip hop, Rap","Future, Metro Boomin, Don Toliver",3,2022,12,2,2110,58,286.400.165,17,119,19,2,266,88,G,Minor,68,17,71,15,0,11,5
Chemical,"indie Pop, Hip hop",Post Malone,1,2023,4,14,2528,39,172.825.906,56,91,59,3,486,170,D,Major,50,37,90,0,0,12,5
Mockingbird,"Hip hop, Rap",Eminem,1,2004,1,1,12985,61,1.241.559.043,49,98,2.394,5,204,84,E,Minor,62,24,67,21,0,13,28
New Jeans,"K-Pop, Pop",NewJeans,1,2023,7,7,77,35,29.562.220,8,166,4,4,34,134,E,Minor,81,53,72,51,0,12,5
Primera Cita,"country, soul, Latin pop",Carin Leon,1,2022,4,20,266,27,77.309.611,6,40,6,6,202,158,A#,Major,54,50,40,61,0,10,6
Cold Heart - PNAU Remix,"Pop, Dance pop","Dua Lipa, Elton John, Pnau",3,2017,11,10,21097,52,1.605.224.506,384,135,1.034,37,312,116,C#,Major,80,92,80,4,0,10,3
Dandelions,Pop,Ruth B.,1,2017,4,28,3423,21,1.116.995.633,41,100,59,1,32,117,C#,Major,61,45,69,2,0,9,3
Bones,"Rock, Pop",Imagine Dragons,1,2021,3,11,4198,44,838.079.900,98,108,327,17,153,114,F,Minor,77,65,72,2,0,7,5
Set Fire to the Rain,"Pop, soul",Adele,1,2011,1,1,14739,43,1.163.620.694,88,112,2.163,5,519,108,D,Minor,61,47,68,0,0,13,3
Money Trees,"Hip hop, Rap","Kendrick Lamar, Jay Rock",2,2012,1,1,26792,32,1.093.605.526,69,113,695,0,458,144,E,Minor,74,37,53,7,0,21,10
Tak Segampang Itu,"Pop, Pop-Rock",Anggi Marito,1,2022,12,2,213,6,179.659.294,7,6,0,0,48,130,F,Major,51,18,44,76,0,11,3
LAGUNAS,"Latin pop, Reggaeton",Peso Pluma & Jasiel Nunez ,2,2023,6,22,58,18,39.058.561,2,106,4,2,184,116,B,Major,77,79,62,33,1,15,3
Mine (Taylor's Version),"Pop, country Pop",Taylor Swift,1,2023,7,7,99,15,36.912.123,21,52,6,1,0,121,G,Major,65,49,78,0,0,17,4
Everybody Wants To Rule The World,"Pop, Pop-Rock",Tears For Fears,1,1985,2,17,41751,25,1.205.951.614,101,32,2.655,0,666,112,G,Major,64,54,81,36,0,11,6
No Role Modelz,"Hip hop, Rap",J. Cole,1,2014,12,9,21164,36,1.791.000.570,80,65,476,0,14,100,A#,Minor,70,47,52,30,0,6,33
Tattoo,"Pop, dance",Loreen,1,2023,2,25,2988,59,201.660.859,74,102,145,18,925,150,D#,Minor,55,30,78,24,0,12,8
Rara Vez,"Latin pop, Reggaeton","Taiu, Milo j",2,2023,2,8,893,38,248.088.961,19,23,24,3,88,120,F,Minor,84,96,71,18,0,34,17
,,"Sebastian Yatra, Manuel Turizo, Beele",3,2023,5,12,1094,34,90.839.753,40,58,47,8,203,127,B,Minor,82,89,85,4,0,23,6
august,"Pop, ballad",Taylor Swift,1,2020,7,24,7324,22,607.123.776,25,81,61,1,44,90,F,Major,51,42,61,53,0,9,3
LUNA,"Latin pop, Reggaeton","Junior H, Peso Pluma",2,2023,6,22,201,11,55.842.345,19,117,8,1,74,128,A,Minor,75,79,63,33,0,15,4
Miracle (with Ellie Goulding),"electroPop, EDM, Dance pop","Calvin Harris, Ellie Goulding",2,2023,3,10,5120,48,211.050.784,161,115,246,9,638,143,A,Major,64,31,87,4,4,8,4
Nonsense,"Pop, R&B",Sabrina Carpenter,1,2022,7,15,2346,27,342.897.938,69,12,38,8,64,139,G#,Major,74,68,68,3,0,26,4
Que Vuelvas,"Latin pop, banda","Carin Leon, Grupo Frontera",2,2022,12,9,763,26,2.762,21,110,21,9,71,162,A#,Major,49,78,64,19,0,11,4
Por las Noches,"Latin pop, Reggaeton",Peso Pluma,1,2021,6,11,457,24,330.346.424,8,116,4,3,2,92,,Major,81,39,60,31,0,7,3
Feliz Cumpleanos Ferxxo,"Latin pop, Reggaeton",Feid,1,2022,8,19,3430,38,601.863.821,45,69,52,4,3,95,F,Major,87,57,55,10,0,29,7
